,Date,Round Number,Round Name,Major Category,Minor Category,Minor Category 2,Notes,Possible Points,Coop,Replay,Alex,Megan,Jenny,Ichigo,Zach,Dan,Debi,Paige,Jeff,Drew,Chris,Dillon,Creator,Link
65,2020-05-13,3,Write out the Acronyms,Entertainment,Pop Culture,,,8,No,No,6,6,6,,6,7,6,,,,5,,Ichigo,https://docs.google.com/presentation/d/1lSRxuC1CgLfXRzuDBZ9IqD3Lpf0jhVLgAdGY-17m2sQ/embed?start=false&slide=id.g77f62887fc_22_49
66,2020-05-13,4,Musical Music Round,Music,,,,8,No,No,3,4,4,5,5,3,1,,,,,,Chris,https://docs.google.com/presentation/d/1lSRxuC1CgLfXRzuDBZ9IqD3Lpf0jhVLgAdGY-17m2sQ/embed?start=false&slide=id.g77f62887fc_38_45
67,2020-05-13,5,Magnificent Malaphors,Humanities,Grammar and Vocab,,,8,No,No,8,8,8,4.5,,7.5,6,,,,7,,Zach,https://docs.google.com/presentation/d/1lSRxuC1CgLfXRzuDBZ9IqD3Lpf0jhVLgAdGY-17m2sQ/embed?start=false&slide=id.g77f62887fc_12_77
68,2020-05-13,6,Animal Group Names,Nature,Animals,,,8,No,No,4,4,,6,5,5,5,,,,2,,Jenny,https://docs.google.com/presentation/d/1lSRxuC1CgLfXRzuDBZ9IqD3Lpf0jhVLgAdGY-17m2sQ/embed?start=false&slide=id.g77f62887fc_17_50
69,2020-05-13,7,Old Wives Tales,Misc,,,,8,No,No,7,2,6,6,7,6,,,,,2,,Mom,https://docs.google.com/presentation/d/1lSRxuC1CgLfXRzuDBZ9IqD3Lpf0jhVLgAdGY-17m2sQ/embed?start=false&slide=id.g77f62887fc_33_0
70,2020-05-13,8,JEOPARDY!,Hodgepodge,,,,9,No,No,4,4,4,4,5,,1,,,,3,,Dad,https://docs.google.com/presentation/d/1lSRxuC1CgLfXRzuDBZ9IqD3Lpf0jhVLgAdGY-17m2sQ/embed?start=false&slide=id.g77f62887fc_28_0
71,2020-05-20,1,Apples,Food,,,,8,No,No,6,8,6,7,7,6,,,,,5,,Mom,https://docs.google.com/presentation/d/1wBzdLDt_XKs5s2PvwivX6emUovhHP7H9kMtEhz4OyoQ/embed?start=false&slide=id.g87241bc682_23_0
72,2020-05-20,2,Card Game Hands Picture Round,Entertainment,Games,,,8,No,No,8,5,5,5,,7,6,,,,8,,Zach,https://docs.google.com/presentation/d/1wBzdLDt_XKs5s2PvwivX6emUovhHP7H9kMtEhz4OyoQ/embed?start=false&slide=id.g87241bc682_2_45
73,2020-05-20,3,When did that Happen? ,Current Events,Pop Culture,,,8,No,No,5,4,,6,6,3,2,,,,6,,Jenny,https://docs.google.com/presentation/d/1wBzdLDt_XKs5s2PvwivX6emUovhHP7H9kMtEhz4OyoQ/embed?start=false&slide=id.g87241bc682_7_53
74,2020-05-20,4,At the Movies Audio Round,Entertainment,Movies,,,8,No,No,6.5,7,3.5,6,7.5,,3.5,,,,4,,Dad,https://docs.google.com/presentation/d/1wBzdLDt_XKs5s2PvwivX6emUovhHP7H9kMtEhz4OyoQ/embed?start=false&slide=id.g87241bc682_12_0
75,2020-05-20,5,Historically Accurate Weapons Not Used in Actual War Picture Round,History,Ancient History,Warfare,,8,No,No,,6,8,7.5,7,7,3.5,,,,6,,Alex,https://docs.google.com/presentation/d/1wBzdLDt_XKs5s2PvwivX6emUovhHP7H9kMtEhz4OyoQ/embed?start=false&slide=id.g87241bc682_17_47
76,2020-05-20,6,#ExplainAFilmPlotBadly,Entertainment,Movies,,,8,No,No,8,8,7,,8,8,6,,,,8,,Ichigo,https://docs.google.com/presentation/d/1wBzdLDt_XKs5s2PvwivX6emUovhHP7H9kMtEhz4OyoQ/embed?start=false&slide=id.g87241bc682_0_0
77,2020-05-20,7,Hodgepodge,Hodgepodge,,,,10,No,No,7.25,5,6.5,6.25,6,5,2,,,,,,Chris,https://docs.google.com/presentation/d/1wBzdLDt_XKs5s2PvwivX6emUovhHP7H9kMtEhz4OyoQ/embed?start=false&slide=id.g87241bc682_28_45
78,2020-05-27,1,Can you Survive?,nature,,,,9,No,No,5,5,5,6,5,7,5,,,,3.5,,Jenny,https://docs.google.com/presentation/d/1FNrbd-lUY9ScwAedHf1JCb_c9m6kQSO2CET1N27T4AI/embed?start=false&slide=id.g87a019bec3_17_45
79,2020-05-27,2,Interior design picture round,Misc,,,,8,No,No,6,,5,6,2,1,6,,,,5,,Megan,https://docs.google.com/presentation/d/1FNrbd-lUY9ScwAedHf1JCb_c9m6kQSO2CET1N27T4AI/embed?start=false&slide=id.g87a019bec3_12_0
80,2020-05-27,3,Alaska Statistics,Geography,,,,9,No,No,4,2,1,5,4,5,3,,,,,,Chris,https://docs.google.com/presentation/d/1FNrbd-lUY9ScwAedHf1JCb_c9m6kQSO2CET1N27T4AI/embed?start=false&slide=id.g87a019bec3_37_0
81,2020-05-27,4,Love is in the air: romantic and tragic movie scenes,Entertainment,Movies,,,8,No,No,7,7,7,,6,6,5,,,,4.5,,Ichigo,https://docs.google.com/presentation/d/1FNrbd-lUY9ScwAedHf1JCb_c9m6kQSO2CET1N27T4AI/embed?start=false&slide=id.g87a019bec3_22_312
82,2020-05-27,5,Common Bond,Hodgepodge,Common Bond,,,8,No,No,4,4.5,6,4.5,4.5,,2,,,,2.5,,Dad,https://docs.google.com/presentation/d/1FNrbd-lUY9ScwAedHf1JCb_c9m6kQSO2CET1N27T4AI/embed?start=false&slide=id.g87a019bec3_27_0
